Carrier,Type,Slugs - requires no connection,Slugs - requires connection
XDP Express,global,xdp-uk,
XDP Express Reference,global,xdp-uk-reference,
XL Express,global,xl-express,
Xpert Delivery,global,xpert-delivery,
XPO,global,xpo-logistics,
GoGo Xpress,global,xpost,
XpressBees,global,xpressbees,
Xpressen,global,xpressen-dk,
Xingyunyi Logistics,global,xyy,
Yakit,global,yakit,
Yanwen,global,yanwen,
"Shenzhen 1st International Logistics(Group)Co,Ltd",global,ydex,
YDH express,global,ydh-express,
YiFan Express,global,yifan,
英诺供应链,global,yingnuo-logistics,
Yodel International,global,yodel-international,
Yodel Direct,global,yodeldirect,
YRC,global,yrc,
YTO Express,global,yto,
Yunda Express,global,yundaex,
YunExpress,global,yunexpress,
Yurtici Kargo,global,yurtici-kargo,
HUAHANG EXPRESS,global,yycom,
YYEXPRESS,global,yyexpress,
Zajil Express Company,global,zajil-express,
Zeleris,global,zeleris,
Eshun international Logistic,global,zes-express,
Ziing,global,ziingfinalmile,
Zinc,global,zinc,
ZJS International,global,zjs-express,
ZTO Express China,global,zto-domestic,
ZTO Express Global,global,zto-express,
DMSMatrix,global,dms-matrix,
Go People,global,gopeople,
HUBBED,global,hubbed,
Panther Order Number,global,panther-order-number,
Sims Global,global,simsglobal,
Transport Ambientales,global,tanet,
Georgian Post,global,gpost,
GO Logistics & Storage,global,gols,
Luwjistik,global,luwjistik,
U-ENVIOS,global,u-envios,
BUFFALO,global,buffalo,
ACI Logistix,global,acilogistix,
Morning Global,global,morninglobal,
FRONTdoor Collective,global,frontdoorcorp,
TransVirtual,global,transvirtual,
Quiet Platforms,global,airterra,
Burd Delivery Aps,global,burd,
Pandion,global,pandion,
TYP,global,typ,
ICS COURIER,global,icscourier,
ShunBang Express,global,shunbang-express,
ViaXpress,global,viaxpress,
XGS,global,xgs,
uParcel,global,uparcel,
Tomydoor,global,tomydoor,
FlipXpress,global,flipxp,
Northline,global,northline,
Crossflight Limited,global,crossflight,
Ozeparts Shipping,global,ozeparts-shipping,
QTrack,global,qtrack,
Fast Despatch Logistics Limited,global,fastdespatch,
Fastship Express,global,fastship,
Optima Courier,global,optimacourier,
FUJIE EXPRESS,global,fujexp,
iThink Logistics,global,ithinklogistics,
Cago,global,cago,
Eco Freight,global,ecofreight,
Tusk Logistics,global,tusklogistics,
EMS,global,ems,
DeliverDirect,global,smartkargo,
Servientrega,global,servientrega,
Trusk France,global,trusk,
INTERSMARTTRANS & SOLUTIONS SL,global,intersmarttrans,
J&T Express Philippines,global,jtexpress-ph,
Movianto,global,movianto,
Thunder Express Australia,global,thunderexpress,
Flight Logistics Group,global,flightlg,
SHIPXPRESS,global,shipxpres,
ADS Express,global,ads,
Big Smart,global,bigsmart,
Med Africa Logistics,global,medafrica,
Packeta,global,packeta,
Pakajo World,global,pakajo,
Sppedaf Express,global,speedaf,
Cacesa,global,cacesa,
Asyad Express,global,asyadexpress,
EasyRoutes,global,easyroutes,
EXPRESSONE,global,expressone,
GC Express,global,gcx,
ZYEX,global,zyou,
TDN,global,tdn,
Early Bird,global,earlybird,
Swiship JP,global,swiship-jp,
Bringer Parcel Services,global,bringer,
SpeedX,global,speedx,
SkyExpress Internationals,global,skyexpressinternational,
Swiss Universal Express,global,swiss-universal-express,
American West,global,awest,
Ninjavan Vietnam,global,ninjavan-vn,
Castle Parcels,global,castleparcels,
Spedisci.online,global,spedisci,
DIR,global,dirmensajeria,
AICS,global,arihantcourier,
SkyExpress Internationals,global,skyexpress-international,
Super Pac Line,global,superpackline,
DOMINO,global,domino,
GLS USA,global,gls-us,
Paikeda,global,paikeda,
LogoiX,global,logoix,
ups-checker,global,ups-checker,
RPM,global,rpm,
EXPRESSONE,global,expressone-sv,
Urb-it,global,urb-it,
GoBolt,global,gobolt,
hepsiJET,global,hepsijet,
Grand Slam Express,global,grandslamexpress,
LIEFERGRUN,global,liefergrun,
SG LINK,global,sglink,
Packaly,global,packaly,
Pack-Man,global,pack-man,
eShipper,global,eshipper,
Multientrega,global,multientregapanama,
Welivery,global,welivery,
准时达跨境,global,jusdasr,
GLS Romania,global,gls-romania,
Urbify,global,urbify,
eTower,global,etower,
GTA GSM,global,gtagsm,
Yunant,global,yunant,
Sky King,global,skyking,
Maergo,global,maergo,
Transpak Inc.,global,transpak,
Aoyue,global,aoyue,
shopline,global,shopline,
Easyparcel,global,easyparcel,
Team Express Service LLC,global,teamexpressllc,
Kinisi Transport Pty Ltd,global,kinisi,
Navlungo,global,navlungo,
LM Parcel,global,lmparcel,
Sendy Express,global,sendy,
eMEGA,global,emega,
Jawar,global,jawar,
FleetOptics,global,fleetopticsinc,
ShipGlobal,global,shipglobal-us,
Southwestern Motor Transport. Inc,global,smtl,
ATA,global,ata,
Madrooex,global,madrooex,
Yunhuipost,global,yunhuipost,
Oakh Harbour Freight Lines,global,oakh,
Zoom,global,zoom-red,
PIGGYSHIP,global,piggyship,
DPD Portugal,global,dpd-prt,
Barsan Global Lojistik,global,barsan,
Asendia Global,global,asendia,
OTS,global,otschile,
Leman,global,leman,
xmszm,global,xmszm,
YouParcel,global,youparcel,
Xindus,global,xindus,
Moovin,global,moovin,
swe,global,swe,
Discount Post,global,discountpost,
IOR Direct Solutions,global,iordirect,
Associated Couriers,global,associated-couriers,
GPS,global,gps,
Intelcom,global,intelcom-ca,
Energo Logistic,global,energologistic,
Obibox,global,obibox,
Netlogix,global,netlogixgroup,
Allegro,global,allegro,
Relay,global,relay,
Parceljet,global,parceljet,
Weee,global,weee,
GLS US Freight,global,gls-us-freight,
Rich Mom,global,richmom,
Rodonaves,global,rodonaves,
Etonas,global,etonas,
Tforce-freight,global,tforce-freight,
XPO Logistics,global,xpo-es,
Fin Mile,global,finmile,
Fourkites,global,fourkites,
Inpost Italy,global,inpost-it,
Jersey Post Group,global,jerseypost-atlas,
Fedex,global,fedex-china,
Coretrails,global,coretrails,
ShipBob,global,shipbob,
ecParcel,global,ecparcel,
Rhenus Logistics,global,rhenus-italy,
Corriere Franco,global,franco,
Jadlog,global,jadlog,
GOFO Express,global,gofo-express,
Floship,global,floship,
Seino Super Express,global,seino-super-express,
Yanwen Express,global,yanwen-express,
CN Express,global,cn-express,
Sendparcel,global,sendparcel,
METRO SUPPLY CHAIN,global,metroscg,
p2p,global,p2p,
3PE Express,global,3pe-express,
Land Logistics,global,land-logistics,
VDtrack,global,vdtrack,
Medline,global,medline,
TOPTRANS,global,toptrans,
Sino SCM,global,sino-scm,
CIRRO Track ,global,cirrotrack,
SFYD Express,global,sfydexpress,
SwiftX,global,swiftx,
Rivo,nice_to_connect,air-canada-global,air-canada
Allied Express,nice_to_connect,alliedexpress,allied-express-ftp
Grupo logistico Andreani,nice_to_connect,andreani,andreani-api
AO Logistics,nice_to_connect,ao-courier,ao-courier-webhook
Aramex,nice_to_connect,aramex,aramex-api
ATS Healthcare,nice_to_connect,atshealthcare,atshealthcare-reference
Australia Post,nice_to_connect,australia-post,australia-post-api
"BJS Distribution, Storage & Couriers",nice_to_connect,bjshomedelivery,bjshomedelivery-ftp
Bluedart,nice_to_connect,bluedart,bluedart-api
Bollore Logistics,nice_to_connect,bollore-logistics,bollore-logistics-sftp
Bpost,nice_to_connect,bpost,bpost-api
BRT Bartolini,nice_to_connect,brt-it,brt-it-api
CBL Logistica,nice_to_connect,cbl-logistica,cbl-logistica-api
"Celeritas Transporte, S.L",nice_to_connect,celeritas,celeritas-ftp
CEVA LOGISTICS,nice_to_connect,ceva,ceva-webhook
Chronopost France,nice_to_connect,chronopost-france,chronopost-france-webhook
Coordinadora,nice_to_connect,coordinadora,coordinadora-api
Correos Express,nice_to_connect,correosexpress,correosexpress-api
DACHSER,nice_to_connect,dachser,dachser-web
Delhivery,nice_to_connect,delhivery,delhivery-webhook
Destiny Transportation,nice_to_connect,destiny,"destiny-ftp,destiny-webhook"
Detrack,nice_to_connect,detrack,detrack-webhook
DHL Express,nice_to_connect,dhl,"dhl-api,dhl-sftp"
DHL Spain Domestic,nice_to_connect,dhl-es,dhl-es-sftp
Deutsche Post DHL,nice_to_connect,dhl-germany,dhl-germany-api
DHL eCommerce,nice_to_connect,dhl-global-mail,dhl-global-mail-api
DHL eCommerce Asia,nice_to_connect,dhl-global-mail-asia,dhl-global-mail-asia-api
DHL Supply Chain Australia,nice_to_connect,dhl-supply-chain-au,dhl-supply-chain-au-sftp
Dialogo Logistica,nice_to_connect,dialogo-logistica,dialogo-logistica-api
Direct Couriers,nice_to_connect,directcouriers,directcouriers-ftp
DPD,nice_to_connect,dpd,dpd-api
DPD Hungary,nice_to_connect,dpd-hungary,"dpd-hungary-ftp,dpd-hungary-web"
DPD Russia,nice_to_connect,dpd-ru,dpd-ru-api
DPD UK,nice_to_connect,dpd-uk,dpd-uk-sftp
DSV,nice_to_connect,dsv,dsv-api
DX,nice_to_connect,dx,dx-sftp
Estafeta,nice_to_connect,estafeta,estafeta-api
Aramex Australia,nice_to_connect,fastway-au,fastway-au-api
FedEx®,nice_to_connect,fedex,fedex-api
Flash Express,nice_to_connect,flashexpress,flashexpress-webhook
Gati-KWE,nice_to_connect,gati-kwe,gati-kwe-api
Go Express and logistics,nice_to_connect,general-overnight,general-overnight-ftp
GIO Express Inc,nice_to_connect,gio-ecourier,gio-ecourier-api
GLS Italy,nice_to_connect,gls-italy,gls-italy-ftp
GLS Netherlands,nice_to_connect,gls-netherlands,"gls-netherlands-api,gls-netherlands-webhook,gls-netherlands-sftp"
GLS USA,nice_to_connect,gso,gso-api
Helthjem,nice_to_connect,helthjem,helthjem-api
Hermes Germany,nice_to_connect,hermes-de,hermes-de-ftp
Hunter Express,nice_to_connect,hunter-express,hunter-express-sftp
iCumulus,nice_to_connect,icumulus,icumulus-webhook
International Seur,nice_to_connect,international-seur,international-seur-api
JNE,nice_to_connect,jne,jne-api
Kuehne + Nagel,nice_to_connect,kn,kn-api
Kronos Express,nice_to_connect,kronos,kronos-webhook
Lalamove,nice_to_connect,lalamove,lalamove-api
Landmark Global,nice_to_connect,landmark-global,landmark-global-ftp
LaserShip,nice_to_connect,lasership,lasership-api
Malca-Amit,nice_to_connect,malca-amit,malca-amit-api
MRW,nice_to_connect,mrw-spain,mrw-spain-ftp
EVRi,nice_to_connect,myhermes-uk,myhermes-uk-api
Nationex,nice_to_connect,nationex,nationex-ftp
Ninja Van Singapore,nice_to_connect,ninjavan,ninjavan-webhook
Nippon Express,nice_to_connect,nippon-express,nippon-express-ftp
Nova Poshta,nice_to_connect,nova-poshta,nova-poshta-api
Innight Express Germany GmbH (nox NachtExpress),nice_to_connect,nox-nachtexpress,nox-nachtexpress-ftp
Omniva,nice_to_connect,omniva,omniva-api
OnTrac,nice_to_connect,ontrac,ontrac-api
Orange Connex,nice_to_connect,orangeconnex,orangeconnex-ftp
OrangeDS (Orange Distribution Solutions Inc),nice_to_connect,orangedsinc,orangedsinc-ftp
OSM Worldwide,nice_to_connect,osm-worldwide,osm-worldwide-sftp
Panther Reference,nice_to_connect,panther-reference,panther-reference-api
PFL,nice_to_connect,pflogistics,pflogistics-ftp
Posta Plus,nice_to_connect,postaplus,postaplus-webhook
Posti,nice_to_connect,posti,posti-api
Purolator,nice_to_connect,purolator,purolator-api
Raben Group,nice_to_connect,raben-group,raben-group-sftp
Royal Mail,nice_to_connect,royal-mail,"royal-mail-ftp,royal-mail-webhook"
Sagawa,nice_to_connect,sagawa,sagawa-api
Seino,nice_to_connect,seino,seino-api
SEKO Logistics,nice_to_connect,sekologistics,seko-sftp
SF Express,nice_to_connect,sf-express,sf-express-api
ShipX,nice_to_connect,shipx,shipx-api
SMSA Express,nice_to_connect,smsa-express,smsa-express-webhook
Spanish Seur,nice_to_connect,spanish-seur,"spanish-seur-api,spanish-seur-ftp"
StarTrack,nice_to_connect,star-track,star-track-webhook
Swiss Post,nice_to_connect,swiss-post,swiss-post-ftp
Yamato Singapore,nice_to_connect,taqbin-sg,taqbin-sg-api
TCS,nice_to_connect,tcs,tcs-api
TIPSA,nice_to_connect,tipsa,tipsa-api
Total Express,nice_to_connect,total-express,total-express-api
UPS,nice_to_connect,ups,ups-api
USPS,nice_to_connect,usps,usps-api
VIR Transport,nice_to_connect,virtransport,virtransport-sftp
Vietnam Post,nice_to_connect,vnpost,vnpost-api
Yodel Domestic,nice_to_connect,yodel,yodel-api
Yusen Logistics,nice_to_connect,yusen,yusen-sftp
CDL Last Mile,nice_to_connect,cdldelivers,cdldelivers-api
DPD Netherlands,nice_to_connect,dpd-nl,dpd-nl-api
GDPharm Logistics,nice_to_connect,gdpharm,gdpharm-webhook
GLS Spain,nice_to_connect,gls-spain,gls-spain-api
Loggi,nice_to_connect,loggi,loggi-api
Packs,nice_to_connect,packs,packs-api
Payo,nice_to_connect,payo,payo-webhook
Professional Parcel Logistics,nice_to_connect,ppl,ppl-api
Quiqup,nice_to_connect,quiqup,quiqup-webhook
Relais Colis,nice_to_connect,relaiscolis,relaiscolis-api
Sherpa,nice_to_connect,sherpa,sherpa-webhook
Agediss,nice_to_connect,agediss,agediss-sftp
Czech Post,nice_to_connect,ceskaposta,ceskaposta-api
Metropolitan Warehouse & Delivery,nice_to_connect,mwd,mwd-api
Rhenus Logistics UK,nice_to_connect,rhenus-uk,rhenus-uk-api
Spreetail,nice_to_connect,spreetail,spreetail-api
Trunkrs,nice_to_connect,trunkrs,trunkrs-webhook
WeShip,nice_to_connect,weship,weship-api
Wineshipping,nice_to_connect,wineshipping,wineshipping-webhook
DHL Global Forwarding eCommerce,nice_to_connect,dhl-ecommerce-gc,dhl-ecommerce-gc-api
DPD Austria,nice_to_connect,dpd-at,dpd-at-sftp
iMile,nice_to_connect,imile,imile-api
Parcelstars,nice_to_connect,parcelstars,parcelstars-webhook
T-cat,nice_to_connect,t-cat,t-cat-api
Veho,nice_to_connect,veho,"veho-api,veho-webhook"
Jumppoint,nice_to_connect,jumppoint,jumppoint-api
GLS Hungary,nice_to_connect,gls-hun,gls-hun-api
DashLink,nice_to_connect,dashlink,dashlink-webhook
Vesyl,nice_to_connect,vesyl,vesyl-api
Uniuni,nice_to_connect,uniuni,uniuni-webhook
Jitsu,nice_to_connect,jitsu,jitsu-ftp
Concise,must_connect,,"concise-api,concise-webhook"
DB Schenker Iceland,must_connect,,dbschenker-iceland-ftp
Deliverr,must_connect,,deliverr-sftp
DHL Global Forwarding,must_connect,,dhl-global-forwarding-api
First Logistics,must_connect,,first-logistics-api
G.I.G,must_connect,,gwlogis-api
LBC Express,must_connect,,"lbcexpress-api,lbcexpress-ftp"
Magyar Posta,must_connect,,magyar-posta-api
Rixon Logistics,must_connect,,rixonhk-api
99minutos,must_connect,,99minutos
Ader,must_connect,,aderonline
Aras Cargo,must_connect,,araskargo
Barq,must_connect,,barqexp
B&H Worldwide,must_connect,,bh-worldwide
Bomi Group,must_connect,,bomi
CEVA Package,must_connect,,ceva-tracking
Chazki,must_connect,,chazki
Chile Express,must_connect,,chilexpress-webhook
Courant Plus,must_connect,,courant-plus-api
DAO365,must_connect,,dao365
DHL (Reference number),must_connect,,dhl-reference-api
DHL supply chain India,must_connect,,dhl-supplychain-in
Direct Freight Express,must_connect,,directfreight-au-ref
DKSH,must_connect,,dksh
DNJ Express,must_connect,,dnj-express
DSV Futurewave,must_connect,,dsv-reference
DX (B2B),must_connect,,dx-b2b-connum
Elite Express,must_connect,,elite-co
FAN COURIER EXPRESS,must_connect,,fan
Faxe Cargo,must_connect,,faxecargo
Fetchr,must_connect,,fetchr-webhook
Glovo,must_connect,,glovo
Gebrüder Weiss,must_connect,,gw-world
Home Logistics,must_connect,,homelogistics
HSM Global,must_connect,,hsm-global
Ilyang logistics,must_connect,,ilyanglogis
Inexpost,must_connect,,inexpost
Javit,must_connect,,javit
京东物流,must_connect,,jd-express
Livrapide,must_connect,,livrapide
Logysto,must_connect,,logysto
Mail Boxes Etc.,must_connect,,mail-box-etc
Marken,must_connect,,marken
Groupe Mazet,must_connect,,mazet
MNX,must_connect,,mnx
Mondial Relay Spain(Punto Pack),must_connect,,mondialrelay-es
Mondial Relay France,must_connect,,mondialrelay-fr
Moova,must_connect,,moova-webhook
Naqel Express,must_connect,,naqel-express
NTL logistics,must_connect,,ntl
Passport Shipping,must_connect,,passportshipping
Patheon Logistics,must_connect,,patheon
PolarSpeed Inc,must_connect,,polarspeed
Pro Carrier,must_connect,,procarrier
Purolator International,must_connect,,purolator-international
Red je Pakketje,must_connect,,redjepakketje
SHIPA,must_connect,,shipa
Shippie,must_connect,,shippie
"Shippify, Inc",must_connect,,shippify
Teliway SIC Express,must_connect,,sic-teliway
Spectran,must_connect,,spectran
Speedy,must_connect,,speedy
Thijs Logistiek,must_connect,,thijs-nl
Tipsa Reference,must_connect,,tipsa-ref
TNT France Reference,must_connect,,tnt-fr-reference
Tourline Express,must_connect,,tourline-reference
Urgent Cargus,must_connect,,urgent-cargus
VOX SOLUCION EMPRESARIAL SRL,must_connect,,vox
World Courier,must_connect,,worldcourier
WSP Express,must_connect,,wspexpress
Xpedigo,must_connect,,xpedigo
Zeek2Door,must_connect,,"zeek,sfplus-webhook"
Activos24,must_connect,,activos24-api
AFL LOGISTICS,must_connect,,afllog-ftp
Airmee,must_connect,,airmee-webhook
Argents Express Group,must_connect,,argents-webhook
BioCair,must_connect,,biocair-ftp
Budbee,must_connect,,budbee-webhook
City Express,must_connect,,city56-webhook
ClickLink,must_connect,,clicklink-sftp
Corporate Couriers,must_connect,,corporatecouriers-webhook
CryoPDP,must_connect,,cryopdp-ftp
The Custom Companies,must_connect,,customco-api
DB Schenker,must_connect,,dbschenker-api
Designer Transport,must_connect,,designertransport-webhook
DoorDash,must_connect,,doordash-webhook
DPD Switzerland,must_connect,,dpd-ch-sftp
DPD Slovakia,must_connect,,dpd-sk-sftp
East West Courier Pte Ltd,must_connect,,eastwestcourier-ftp
Eurodifarm,must_connect,,edf-ftp
Estes Forwarding Worldwide,must_connect,,efwnow-api
Europacket+,must_connect,,europaket-api
Exelot Ltd.,must_connect,,exelot-ftp
Expeditors API Reference,must_connect,,expeditors-api-ref
fairsenden,must_connect,,fairsenden-api
FitzMark,must_connect,,fitzmark-api
FragilePAK,must_connect,,fragilepak-sftp
GAC,must_connect,,gac-webhook
GEODIS - Distribution & Express,must_connect,,"geodis-api,geodis-sftp"
Gojek,must_connect,,gojek-webhook
Grab,must_connect,,grab-webhook
Hermes UK,must_connect,,hermes-uk-sftp
Inntralog GmbH,must_connect,,inntralog-sftp
Instabox,must_connect,,instabox-webhook
Integra2,must_connect,,integra2-ftp
InTime,must_connect,,intime-ftp
Ivoy,must_connect,,ivoy-webhook
KEX Express,must_connect,,kerry-express-th-webhook
LCT do Brasil,must_connect,,lctbr-api
Locus,must_connect,,locus-webhook
T&W Delivery,must_connect,,loginext-webhook
Mensajeros Urbanos,must_connect,,mensajerosurbanos-api
Naeko Logistics,must_connect,,naeko-ftp
Novofarma,must_connect,,novofarma-webhook
Sequoialog,must_connect,,nowlog-api
Omni Returns,must_connect,,omnirps-webhook
Paack,must_connect,,paack-webhook
Pandago,must_connect,,pandago-api
ParcelPal,must_connect,,parcelpal-webhook
USPS Flats (Pitney Bowes),must_connect,,pb-uspsflats-ftp
Pgeon,must_connect,,pgeon-api
Product Care Services Limited,must_connect,,productcaregroup-sftp
Quickstat Courier LLC,must_connect,,qintl-api
Routific,must_connect,,routific-webhook
SerVIP,must_connect,,servip-webhook
SimpleTire,must_connect,,simpletire-webhook
solistica,must_connect,,solistica-api
SortHub,must_connect,,thenile-webhook
Tonami,must_connect,,tonami-ftp
Uber,must_connect,,uber-webhook
USPS Informed Visibility,must_connect,,"usps-iv-api,usps-webhook"
Value Logistics,must_connect,,value-webhook
Ximex Delivery Express,must_connect,,xde-webhook
D Express,must_connect,,dexpress-webhook
Best Transport,must_connect,,besttransport-sftp
OM LOGISTICS LTD,must_connect,,omlogistics-api
Kiitäjät,must_connect,,logisystems-sftp
Ransa,must_connect,,ransa-webhook
Tamer Logistics,must_connect,,tamergroup-webhook
AIT,must_connect,,"aitworldwide-api,aitworldwide-sftp"
Teleport,must_connect,,teleport-webhook
Snt Global Etrax,must_connect,,sntglobal-api
網家速配股份有限公司,must_connect,,pchome-api
DHL GLOBAL FORWARDING PANAMÁ,must_connect,,dhl-pa-api
DHL Global Forwarding Guatemala,must_connect,,dhl-gt-api
Kerry Express TaiWan,must_connect,,kerry-express-tw-api
mySendle,must_connect,,mysendle-api
Chienventure,must_connect,,chienventure-webhook
Papa,must_connect,,papa-webhook
IB Venture,must_connect,,ibventure-webhook
Secretlab,must_connect,,secretlab-webhook
Mothership,must_connect,,mothership-api
Starlinks Global,must_connect,,starlinks-api
Zuellig Pharma Korea,must_connect,,zuelligpharma-sftp
"WOO YOUNG LOGISTICS CO.,LTD.",must_connect,,wooyoung-logistics-sftp
PHSE,must_connect,,phse-api
J&T Express Singapore,must_connect,,jtexpress-sg-api
Roche Internal Courier,must_connect,,roche-internal-sftp
DHL IE,must_connect,,dhl-ie-sftp
ANC / Fleets Flyers PTY LTD,must_connect,,ancdelivers-sftp
Arrow,must_connect,,arrow-api
Team Global Express,must_connect,,team-global-express-webhook
C Chez Vous,must_connect,,cchezvous-sftp
Rendr,must_connect,,rendr-webhook
Kiwi Express Couriers,must_connect,,kiwi-express-webhook
Zoom2U,must_connect,,zoom2u-webhook
trans-o-flex Express GmbH & Co. KGaA,must_connect,,trans-o-flex-sftp
Fliway,must_connect,,"fliway-api,fliway-sftp"
Stop Start Transport Ltd,must_connect,,stop-start-api
Fukuyama,must_connect,,fukuyama-sftp
SIGNIA LOGISTICS S.A.C.,must_connect,,signia-ftp
SIGNIA LOGISTICS S.A.C.,must_connect,,signialogistics-sftp
Borderless 360,must_connect,,borderless360-webhook
Mobile Tyre Shop,must_connect,,mobiletyreshop-webhook
Bleckmann,must_connect,,bleckmann-sftp
M24 Logistics,must_connect,,m24logistics-webhook
XPO Last Mile France,must_connect,,"xpo-fr-api,xpo-fr-ftp"
Boxcheck,must_connect,,"boxcheck-api,boxcheck-webhook"
5Stringsolutions,must_connect,,shipstoresoftware-webhook
Cargo Partner,must_connect,,cargopartner-api
On Way,must_connect,,onway-webhook
Flash Express PH,must_connect,,flashexpress-ph-api
Geodis MyParcel,must_connect,,geodis-usa-api
Skelton,must_connect,,skelton-sftp
chronodiali,must_connect,,chronodiali-webhook
Alpha Freight,must_connect,,alphafreight-webhook
Ekol Lojistik,must_connect,,ekol-api
Courier Network Inc,must_connect,,cnwglobal-api
"Returnmates, Inc.",must_connect,,returnmates-webhook
Pandago,must_connect,,pandago-ph-api
TASCO BERHAD,must_connect,,tasco-my-webhook
DSV,must_connect,,dsv-za-sftp
Porter Express,must_connect,,porterex-webhook
Fastway Australia,must_connect,,aramex-au-api
UNITED CALIFORNIA FREIGHT SOLUTIONS,must_connect,,ucfs-api
Toshi,must_connect,,toshi-webhook
BTX GLOBAL LOGISTICS,must_connect,,btxglobal-ftp
NTI Logistics,must_connect,,ntilogistics-ftp
Sassy,must_connect,,sassy-api
P2P Delivery Ltd,must_connect,,p2p-delivery-api
Parcel Delivery Network,must_connect,,portless-api
Parcel Delivery Network,must_connect,,pdn-api
e-courier (MDS),must_connect,,e-courier-webhook
HTDK (Shanghai),must_connect,,htdkgroup-webhook
Parca Logistics,must_connect,,"parcalogistics-api,parcalogistics-webhook"
RXO,must_connect,,rxo-api
DSV UAE,must_connect,,dsv-are-webhook
Lalamove Plus,must_connect,,lalamove-plus-api
CKB,must_connect,,ckb-webhook
TVS Supply Chain Solutions,must_connect,,tvsscs-webhook
META,must_connect,,metabrasil-webhook
Deliveright,must_connect,,deliveright-webhook
SPFly Logística,must_connect,,spflylogistica-webhook
YAMATO Logistics (HK) LTD,must_connect,,yamato-tw-api
JAMEF,must_connect,,jamef-web
transligue,must_connect,,transligue-web
TNT Brasil,must_connect,,tntbrasil-web
BrasPress,must_connect,,braspress-web
Bomi Group,must_connect,,bomi-br-api
Albatros Logistics,must_connect,,albatroslogistic-api
Coll-8,must_connect,,coll-8-sftp
Bomi,must_connect,,bomi-co-api
Bomi,must_connect,,bomi-ec-api
Bomi,must_connect,,bomi-cl-api
Comboyne Group,must_connect,,comboynegroup-webhook
Cathedis,must_connect,,cathedis-api
DTW,must_connect,,dtw-ftp
QLS,must_connect,,qls-ftp
Jungle Express,must_connect,,radaro-webhook
Ocasa,must_connect,,ocasa-ftp
LYNDEN,must_connect,,lynden-sftp
TNT France,must_connect,,tnt-fr-reference-international-api
FNAC DARTY,must_connect,,fnacdarty-sftp
Total Media,must_connect,,totalmedia-api
GLS France,must_connect,,gls-fr-ftp
AC Logistics,must_connect,,aclogistics-mx-webhook
Essers,must_connect,,essers-api
Seabourne Logistics,must_connect,,seabourne-api
Apple Express,must_connect,,apple-express-webhook
Rangel,must_connect,,rangel-api
JAS,must_connect,,jas-webhook
Yamato Japan,must_connect,,yamato-jp-api
dhl,must_connect,,dhl-chile-sftp
Moran Transportation Corporation,must_connect,,moran-api
DHL,must_connect,,mydhl-api
Zadbano,must_connect,,zadbano-webhook
DSV,must_connect,,dsv-slovakia-sftp
J&T Express,must_connect,,jtexpress-br-api
Lagermax,must_connect,,lagermax-sftp
Ameriship,must_connect,,ameriship-api
KLG Europe Venlo BV,must_connect,,klg-sftp
Frontierscs,must_connect,,frontier-api